original_path,filename,classification,included,consolidated_path,size_bytes,reason
Data/master/_data_manifest_bloomberg.csv,_data_manifest_bloomberg.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/_data_manifest_bloomberg.csv,3675,Included: canonical Bloomberg/master input or manifest table.
Data/master/_data_quality_bloomberg.csv,_data_quality_bloomberg.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/_data_quality_bloomberg.csv,1554,Included: canonical Bloomberg/master input or manifest table.
Data/master/master_logrets_bloomberg.csv,master_logrets_bloomberg.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/master_logrets_bloomberg.csv,1553958,Included: canonical Bloomberg/master input or manifest table.
Data/master/master_prices_bloomberg.csv,master_prices_bloomberg.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/master_prices_bloomberg.csv,1308924,Included: canonical Bloomberg/master input or manifest table.
Data/master/taa_log_returns.csv,taa_log_returns.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/taa_log_returns.csv,445820,Included: canonical Bloomberg/master input or manifest table.
Data/master/taa_prices.csv,taa_prices.csv,bloomberg_master_input,yes,Data/consolidated_csvs/bloomberg/master/taa_prices.csv,193562,Included: canonical Bloomberg/master input or manifest table.
Data/master/fred_data.csv,fred_data.csv,fred_master_input,yes,Data/consolidated_csvs/fred/master/fred_data.csv,397676,Included: canonical combined FRED input table used by the pipeline.
Data/fred/_pull_log.csv,_pull_log.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/_pull_log.csv,4983,Included: original FRED CSV pull.
Data/fred/commodity_Brent_Crude_Oil_Price.csv,commodity_Brent_Crude_Oil_Price.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/commodity_Brent_Crude_Oil_Price.csv,170721,Included: original FRED CSV pull.
Data/fred/commodity_Copper_Price_USD.csv,commodity_Copper_Price_USD.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/commodity_Copper_Price_USD.csv,10953,Included: original FRED CSV pull.
Data/fred/commodity_WTI_Crude_Oil_Price.csv,commodity_WTI_Crude_Oil_Price.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/commodity_WTI_Crude_Oil_Price.csv,176108,Included: original FRED CSV pull.
Data/fred/credit_Chicago_Fed_NFCI.csv,credit_Chicago_Fed_NFCI.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_Chicago_Fed_NFCI.csv,56492,Included: original FRED CSV pull.
Data/fred/credit_Chicago_Fed_NFCI_Credit_Subindex.csv,credit_Chicago_Fed_NFCI_Credit_Subindex.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_Chicago_Fed_NFCI_Credit_Subindex.csv,56170,Included: original FRED CSV pull.
Data/fred/credit_ICE_BofA_HY_Effective_Yield.csv,credit_ICE_BofA_HY_Effective_Yield.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_ICE_BofA_HY_Effective_Yield.csv,124251,Included: original FRED CSV pull.
Data/fred/credit_ICE_BofA_HY_OAS.csv,credit_ICE_BofA_HY_OAS.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_ICE_BofA_HY_OAS.csv,122946,Included: original FRED CSV pull.
Data/fred/credit_ICE_BofA_IG_Effective_Yield.csv,credit_ICE_BofA_IG_Effective_Yield.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_ICE_BofA_IG_Effective_Yield.csv,122657,Included: original FRED CSV pull.
Data/fred/credit_ICE_BofA_IG_OAS.csv,credit_ICE_BofA_IG_OAS.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/credit_ICE_BofA_IG_OAS.csv,122639,Included: original FRED CSV pull.
Data/fred/equity_SP500_Index_Level.csv,equity_SP500_Index_Level.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/equity_SP500_Index_Level.csv,48710,Included: original FRED CSV pull.
Data/fred/equity_VIX_Close.csv,equity_VIX_Close.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/equity_VIX_Close.csv,158339,Included: original FRED CSV pull.
Data/fred/fx_JPY_USD_Exchange_Rate.csv,fx_JPY_USD_Exchange_Rate.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/fx_JPY_USD_Exchange_Rate.csv,251479,Included: original FRED CSV pull.
Data/fred/fx_USD_AUD_Exchange_Rate.csv,fx_USD_AUD_Exchange_Rate.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/fx_USD_AUD_Exchange_Rate.csv,252601,Included: original FRED CSV pull.
Data/fred/fx_USD_Broad_Trade_Weighted_Index.csv,fx_USD_Broad_Trade_Weighted_Index.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/fx_USD_Broad_Trade_Weighted_Index.csv,101309,Included: original FRED CSV pull.
Data/fred/fx_USD_EUR_Exchange_Rate.csv,fx_USD_EUR_Exchange_Rate.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/fx_USD_EUR_Exchange_Rate.csv,125421,Included: original FRED CSV pull.
Data/fred/liquidity_Bank_Prime_Loan_Rate.csv,liquidity_Bank_Prime_Loan_Rate.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/liquidity_Bank_Prime_Loan_Rate.csv,284527,Included: original FRED CSV pull.
Data/fred/liquidity_Fed_Discount_Window_Credit.csv,liquidity_Fed_Discount_Window_Credit.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/liquidity_Fed_Discount_Window_Credit.csv,94655,Included: original FRED CSV pull.
Data/fred/liquidity_Monetary_Base.csv,liquidity_Monetary_Base.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/liquidity_Monetary_Base.csv,13759,Included: original FRED CSV pull.
Data/fred/liquidity_Reserve_Balances_at_Fed.csv,liquidity_Reserve_Balances_at_Fed.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/liquidity_Reserve_Balances_at_Fed.csv,22342,Included: original FRED CSV pull.
Data/fred/macro_Building_Permits.csv,macro_Building_Permits.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/macro_Building_Permits.csv,12589,Included: original FRED CSV pull.
Data/fred/macro_CPI_All_Urban_Consumers.csv,macro_CPI_All_Urban_Consumers.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/macro_CPI_All_Urban_Consumers.csv,16398,Included: original FRED CSV pull.
Data/fred/macro_Capacity_Utilization.csv,macro_Capacity_Utilization.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/macro_Capacity_Utilization.csv,13443,Included: original FRED CSV pull.
Data/fred/macro_Case_Shiller_Home_Price_Index.csv,macro_Case_Shiller_Home_Price_Index.csv,fred_raw_pull,yes,Data/consolidated_csvs/fred/raw/macro_Case_Shiller_Home_Price_Index.csv,8740,Included: original FRED CSV pull.
